"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101","","A7101","","C610101","","C610104","","C610105","","C610106","","C610107","","C610108","","C610109","","C610110","","C610111","","C610114","","C610115","","C610116","","C610117","","C610118","","C610119","","C610120","","C610121","","C610122","","D2201","","D2209","","I5101",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A7101_世帯数【世帯】","注釈","C610101_売上金額（民営）（農林漁業）【百万円】","注釈","C610104_売上金額（民営）（非農林漁業（公務を除く））【百万円】","注釈","C610105_売上金額（民営）（鉱業、採石業、砂利採取業）【百万円】","注釈","C610106_売上金額（民営）（建設業）【百万円】","注釈","C610107_売上金額（民営）（製造業）【百万円】","注釈","C610108_売上金額（民営）（電気・ガス・熱供給・水道業）【百万円】","注釈","C610109_売上金額（民営）（情報通信業）【百万円】","注釈","C610110_売上金額（民営）（運輸業、郵便業）【百万円】","注釈","C610111_売上金額（民営）（卸売業、小売業）【百万円】","注釈","C610114_売上金額（民営）（金融業、保険業）【百万円】","注釈","C610115_売上金額（民営）（不動産業、物品賃貸業）【百万円】","注釈","C610116_売上金額（民営）（学術研究、専門・技術サービス業）【百万円】","注釈","C610117_売上金額（民営）（宿泊業、飲食サービス業）【百万円】","注釈","C610118_売上金額（民営）（生活関連サービス業、娯楽業）【百万円】","注釈","C610119_売上金額（民営）（教育、学習支援業）【百万円】","注釈","C610120_売上金額（民営）（医療、福祉）【百万円】","注釈","C610121_売上金額（民営）（複合サービス事業）【百万円】","注釈","C610122_売上金額（民営）（サービス業（他に分類されないもの））【百万円】","注釈","D2201_財政力指数（市町村財政）【‐】","注釈","D2209_一般財源（市町村財政）【千円】","注釈","I5101_病院数【施設】","注釈"
"2020100000","2020年度","01362","北海道 上ノ国町","","4,306","","2,053","","1,153","","13,403","","0","","5,059","","3,308","","-","","-","","137","","3,036","","189","","X","","X","","137","","341","","X","","727","","180","","249","","0.17","","3,112,926","","0",""
"2020100000","2020年度","01363","北海道 厚沢部町","","3,592","","1,654","","1,657","","20,140","","X","","5,004","","X","","-","","-","","2,055","","4,087","","357","","651","","65","","161","","1,789","","X","","1,057","","2,126","","643","","0.17","","2,968,099","","1",""
"2020100000","2020年度","01364","北海道 乙部町","","3,403","","1,597","","190","","10,649","","X","","1,165","","4,265","","-","","X","","X","","3,820","","X","","X","","X","","236","","93","","2","","218","","127","","212","","0.15","","2,444,665","","1",""
"2020100000","2020年度","01367","北海道 奥尻町","","2,410","","1,215","","X","","X","","0","","2,503","","438","","X","","-","","481","","2,702","","183","","212","","X","","411","","222","","-","","273","","80","","273","","0.13","","2,536,056","","1",""
"2020100000","2020年度","01370","北海道 今金町","","5,072","","2,192","","1,188","","20,518","","0","","4,104","","X","","X","","-","","1,657","","9,215","","702","","433","","85","","461","","225","","175","","1,288","","159","","868","","0.20","","3,386,112","","1",""
"2020100000","2020年度","01371","北海道 せたな町","","7,398","","3,534","","1,260","","24,185","","418","","4,358","","1,113","","X","","X","","525","","9,368","","1,012","","672","","146","","497","","915","","14","","2,720","","1,436","","861","","0.15","","5,835,310","","2",""
"2020100000","2020年度","01391","北海道 島牧村","","1,356","","617","","116","","2,761","","0","","515","","347","","-","","-","","X","","776","","X","","X","","X","","81","","33","","X","","614","","99","","149","","0.09","","1,692,755","","0",""
"2020100000","2020年度","01392","北海道 寿都町","","2,838","","1,340","","506","","15,466","","0","","2,500","","4,843","","X","","-","","727","","3,733","","222","","23","","X","","208","","159","","X","","2,138","","100","","310","","0.14","","2,139,515","","0",""
"2020100000","2020年度","01393","北海道 黒松内町","","2,791","","1,298","","2,205","","9,422","","0","","2,661","","X","","-","","-","","114","","1,883","","X","","204","","209","","125","","58","","9","","2,554","","190","","235","","0.15","","2,524,744","","0",""
"2020100000","2020年度","01394","北海道 蘭越町","","4,568","","2,081","","2,183","","14,306","","X","","4,008","","367","","-","","-","","280","","6,892","","X","","126","","162","","260","","71","","30","","1,460","","297","","168","","0.19","","3,646,147","","1",""
