year_code,year,cd_area,area_name,A1101_総人口【人】,A7101_世帯数【世帯】,C610101_売上金額（民営）（農林漁業）【百万円】,C610104_売上金額（民営）（非農林漁業（公務を除く））【百万円】,C610105_売上金額（民営）（鉱業、採石業、砂利採取業）【百万円】,C610106_売上金額（民営）（建設業）【百万円】,C610107_売上金額（民営）（製造業）【百万円】,C610108_売上金額（民営）（電気・ガス・熱供給・水道業）【百万円】,C610109_売上金額（民営）（情報通信業）【百万円】,C610110_売上金額（民営）（運輸業、郵便業）【百万円】,C610111_売上金額（民営）（卸売業、小売業）【百万円】,C610114_売上金額（民営）（金融業、保険業）【百万円】,C610115_売上金額（民営）（不動産業、物品賃貸業）【百万円】,C610116_売上金額（民営）（学術研究、専門・技術サービス業）【百万円】,C610117_売上金額（民営）（宿泊業、飲食サービス業）【百万円】,C610118_売上金額（民営）（生活関連サービス業、娯楽業）【百万円】,C610119_売上金額（民営）（教育、学習支援業）【百万円】,C610120_売上金額（民営）（医療、福祉）【百万円】,C610121_売上金額（民営）（複合サービス事業）【百万円】,C610122_売上金額（民営）（サービス業（他に分類されないもの））【百万円】,D2201_財政力指数（市町村財政）【‐】,D2209_一般財源（市町村財政）【千円】,I5101_病院数【施設】
2020100000,2020年度,01406,北海道 古平町,2745,1282,346,12393,0,3436,4642,,,405,1792,,,0,194,40,,1200,,474,0.12,2195471,0
2020100000,2020年度,01407,北海道 仁木町,3180,1332,2211,18845,0,446,11019,,,507,2526,,330,,425,24,,2341,621,453,0.18,2221608,0
2020100000,2020年度,01408,北海道 余市町,18000,8283,1197,80872,,5928,8523,2601,,2506,41040,1653,1560,347,1267,2865,813,8864,1705,1171,0.34,5512967,2
2020100000,2020年度,01409,北海道 赤井川村,1165,621,1206,7679,0,194,1200,,,39,1024,,0,0,4803,,,207,,113,0.26,1294025,0
2020100000,2020年度,01423,北海道 南幌町,7319,2980,2387,28348,0,4968,6605,,,3723,7341,,508,112,559,360,183,2102,670,1129,0.29,3332739,1
2020100000,2020年度,01424,北海道 奈井江町,5120,2312,833,45953,,11870,25171,,,1076,3964,156,68,125,286,180,1,1481,290,383,0.26,3044040,1
2020100000,2020年度,01425,北海道 上砂川町,2841,1479,0,8120,,1688,3838,,,,1030,,,0,,92,,617,73,177,0.12,1970202,0
2020100000,2020年度,01427,北海道 由仁町,4822,2063,3319,28215,,1239,11052,,,1278,10319,98,53,20,230,424,127,1132,163,657,0.22,3165915,0
2020100000,2020年度,01428,北海道 長沼町,10289,4091,7012,41181,838,5311,,,,927,19295,282,287,724,928,875,76,3616,1721,1292,0.31,4659161,1
2020100000,2020年度,01429,北海道 栗山町,11272,4964,4168,65876,0,8351,,2497,,2028,28970,2025,682,102,771,1243,244,5365,224,1903,0.30,4781951,1
2020100000,2020年度,01430,北海道 月形町,3691,1320,1170,10387,0,2037,808,,,,4237,215,12,0,109,65,,1988,289,438,0.17,2451742,1
2020100000,2020年度,01431,北海道 浦臼町,1732,777,842,4188,0,280,153,,,,2123,,,,,25,7,369,554,253,0.16,1771893,0
2020100000,2020年度,01432,北海道 新十津川町,6484,2543,1685,25607,,4412,458,,,1143,10832,,108,,399,211,107,2183,755,4208,0.19,3922448,1
2020100000,2020年度,01433,北海道 妹背牛町,2693,1201,1011,14290,0,2368,4869,,,23,4925,,0,,58,204,2,646,,942,0.18,1987239,0
2020100000,2020年度,01434,北海道 秩父別町,2329,982,1512,7859,0,1528,601,,,163,3488,,37,,367,48,,657,,120,0.16,1884764,0
2020100000,2020年度,01436,北海道 雨竜町,2389,926,1058,7261,0,1000,,,,457,1868,,,,81,57,,1399,170,1201,0.15,2035566,1
2020100000,2020年度,01437,北海道 北竜町,1724,737,1317,6999,,3236,225,,,,1518,,36,0,365,147,,198,,245,0.14,1761936,0
2020100000,2020年度,01438,北海道 沼田町,2909,1244,1380,12493,,3557,563,,,257,5898,,,63,146,73,78,406,,156,0.16,2747856,0
